product_id,category,material,material_cost,production_days,date,market_price
P015,Wooden Craft,Teak,605,3,2026-01-10,2550
P015,Wooden Craft,Teak,605,3,2026-02-10,2380
P015,Wooden Craft,Teak,605,3,2026-03-10,2460
P015,Wooden Craft,Teak,605,3,2026-04-10,2500
P015,Wooden Craft,Teak,605,3,2026-05-10,2520
P016,Basket,Cane,378,3,2026-01-10,1310
P016,Basket,Cane,378,3,2026-02-10,1350
P016,Basket,Cane,378,3,2026-03-10,1330
P016,Basket,Cane,378,3,2026-04-10,1380
P016,Basket,Cane,378,3,2026-05-10,1250
P017,Basket,Jute,424,3,2026-01-10,1260
P017,Basket,Jute,424,3,2026-02-10,1100
P017,Basket,Jute,424,3,2026-03-10,1240
P017,Basket,Jute,424,3,2026-04-10,1250
P017,Basket,Jute,424,3,2026-05-10,1070
P018,Basket,Jute,176,5,2026-01-10,570
P018,Basket,Jute,176,5,2026-02-10,730
P018,Basket,Jute,176,5,2026-03-10,800
P018,Basket,Jute,176,5,2026-04-10,560
P018,Basket,Jute,176,5,2026-05-10,720
P019,Home Decor,Cotton,308,2,2026-01-10,1100
P019,Home Decor,Cotton,308,2,2026-02-10,1060
P019,Home Decor,Cotton,308,2,2026-03-10,1180
P019,Home Decor,Cotton,308,2,2026-04-10,1090
P019,Home Decor,Cotton,308,2,2026-05-10,1180
P020,Home Decor,Clay,354,7,2026-01-10,2160
P020,Home Decor,Clay,354,7,2026-02-10,2000
P020,Home Decor,Clay,354,7,2026-03-10,1960
P020,Home Decor,Clay,354,7,2026-04-10,2120
P020,Home Decor,Clay,354,7,2026-05-10,1970
P021,Home Decor,Wood,332,5,2026-01-10,1380
P021,Home Decor,Wood,332,5,2026-02-10,1530
P021,Home Decor,Wood,332,5,2026-03-10,1460
P021,Home Decor,Wood,332,5,2026-04-10,1440
P021,Home Decor,Wood,332,5,2026-05-10,1710
